id,title,author,dating from,dating to
61,Half-litre beer mug,Jiří Brabec,1972,1972
62,Half-litre beer mug,Jiří Brabec,1980,1980
63,Tankard,Unknown,1700,1750
64,Holba half-litre beer mug ,Rony Plesl,2022,2022
65,Kozel half-litre beer mug ,Jan Čápek,2009,2009
66,Tapestry of The Triumph of Mordecai over Haman,Unknown,1650,1699
67,"Tapestry of Jugurtha in Captivity, ",Uknown,1620,1620
68,Beaker with the Holy Roman Empiror and seven electors,Unknown,1593,1593
69,Beaker with a depiction of a glassworks ,Christian Praussler,1680,1680
70,Beaker with portrait of the family of foreman Martin Muller ,Unknown,1654,1654
71,Beaker with the Adoration of the Magi,Unknown,1578,1578
72,Beaker with Holy Roman Emperor and electors on horseback,Unknown,1617,1617
73,Beaker with couples dancing,Unknown,1621,1621
74,Tabernacle in the shape of a polygonal temple,Frá Francesco da Belluno,1745,1745
75,Cabinet with Eger relief marquetry,Unknown,1650,1650
76,Cabinet inlaid with tortoiseshell,Unknown,1650,1675
77,Cabinet á la Boulle marquetry,Unknown,1710,1710
78,"Aeolus, Keeper of the Winds",Balthasar Permoser ,1700,1720
79,Tiny marble sculpture of woman,Balthasar Permoser ,1700,1720
80,Tiny marble woman sculpture of woman holding box,Balthasar Permoser ,1700,1720
81,Tiny marble sculpture of man with dogs,Balthasar Permoser ,1700,1720
82,Tiny marble sculpture od bearded man,Balthasar Permoser ,1700,1720
83,Emperor Rudolf II,"Johann Joachim Kandler, Peter Reinicke",1744,1747
84,Emperor Matthias,"Johann Joachim Kandler, Peter Reinicke",1744,1747
85,Emperor Maximilian II,"Johann Joachim Kandler, Peter Reinicke",1744,1747
86,Emperor Maximilian I,"Johann Joachim Kandler, Peter Reinicke",1744,1747
87,Emperor Ferdinand I,"Johann Joachim Kandler, Peter Reinicke",1744,1747
88,Chair to a writing desk ,Josef Gočár,1913,1913
89,Chair,Pavel Janák,1915,1915
90,Chair,Pavel Janák,1915,1915
91,Dining Chair (prototype),Jaroslav Kadlec,1985,1985
92,Upholstered chair,Unknown,1830,1830
93,Biedermeier Chair,Unknown,1820,1825
94,Upholstered chair,Unknown,1830,1830
95,Interior wall decoration (wallpaper),Antonín Machek,1800,1800
96,"Music, from Les Arts - The Arts Series",Alfons Mucha,1898,1898
97,"Dance, from Les Arts - The Arts Series",Alfons Mucha,1898,1898
98,"Poetry, from Les Arts - The Arts Series",Alfons Mucha,1898,1898
99,"Painting, from Les Arts - The Arts Series",Alfons Mucha,1898,1898
100,"Carnation, from the Les Fleurs - Flowers series",Alfons Mucha,1897,1897
101,"Lily, from the Les Fleurs - Flowers series",Alfons Mucha,1897,1897
